img_idx,IoU_bg,IoU_pet,mIoU,Dice_bg,Dice_pet,mDice
272,0.10833743236562857,0.5322840740493254,0.320310753207477,0.19549539553923362,0.6947589981049308,0.44512719682208224
273,0.08740282492037829,0.46523266445235995,0.2763177446863691,0.1607551919442146,0.6350290649932291,0.39789212846872185
274,0.06117638903309703,0.5752614824911397,0.3182189357621184,0.11529918996565423,0.7303695150108203,0.42283435248823725
275,0.08225636607294118,0.3824860303702435,0.23237119822159233,0.15200902235653344,0.5533307707533363,0.35266989655493486
276,0.09557352117160123,0.45286825709324197,0.2742208891324216,0.1744721268352586,0.6234126940033735,0.39894241041931605
277,0.11409276172875348,0.5173822142258353,0.3157374879772944,0.2048173467202392,0.6819405280689973,0.44337893739461826
278,0.07954420948789556,0.7378128706061765,0.408678540047036,0.14736628437964394,0.8491281001375203,0.4982471922585821
279,0.07885452193320341,0.5015432589803329,0.29019889045676817,0.14618193710103508,0.6680370425303905,0.4071094898157128
280,0.1345667606726282,0.40672655455674617,0.2706466576146872,0.23721259133812497,0.5782595817776456,0.4077360865578853
281,0.143991251163903,0.6590245397772558,0.4015078954705794,0.25173488174390407,0.7944723227128851,0.5231036022283946
282,0.13257263312223314,0.36639330543871734,0.24948296928047525,0.2341088407844748,0.5362925944972731,0.38520071764087394
283,0.0659493152553211,0.34449287162484715,0.20522109344008413,0.12373818212833997,0.5124502760784748,0.3180942291034074
284,0.10043206687620243,0.3746388285796787,0.23753544772794055,0.18253206154069834,0.54507237943623,0.36380222048846417
285,0.06072132995192809,0.4740537385013268,0.2673875342266275,0.11449063620636342,0.6431973626460838,0.37884399942622365
286,0.04906075139871749,0.5543293320628845,0.301695041730801,0.09353271740136034,0.7132714034640087,0.40340206043268456
287,0.0495216657285924,0.5516396002489824,0.3005806329887874,0.09436997319005087,0.7110408888255547,0.4027054310078028
288,0.07255503525466238,0.4515913430928523,0.2620731891737573,0.13529382245161015,0.6222017584241901,0.37874779043790013
289,0.06985555292418559,0.6303986450449607,0.3501270989845731,0.13058875608628231,0.7733061444338681,0.4519474502600752
290,0.06671276531757948,0.5097209280280024,0.28821684667279096,0.12508102928292583,0.6752518542533552,0.40016644176814054
291,0.08628722727348312,0.2741635687727872,0.18022539802313514,0.1588663202642251,0.4303428154626149,0.29460456786342
292,0.11220024505485685,0.41843437238870673,0.2653173087217818,0.20176266918431188,0.5899946878529806,0.3958786785186462
293,0.14929273555466485,0.4017265507757647,0.27550964316521476,0.2597993199402136,0.573188187886482,0.41649375391334775
294,0.05763108310038847,0.3079602385680987,0.18279566083424356,0.10898144735203141,0.4709015297058891,0.2899414885289603
295,0.02909449373319506,0.46557524456154664,0.24733486914737085,0.056543872132966924,0.6353481287149223,0.34594600042394463
296,0.10195841546352782,0.5468080668700817,0.3243832411668047,0.18504947924126525,0.7070147597258539,0.4460321194835596
297,0.19646971254316636,0.6221225809667426,0.40929614675495446,0.32841568906171226,0.7670475564133677,0.54773162273754
298,0.07641714772368498,0.694638694637608,0.3855279211806465,0.1419842630439053,0.8198074277846628,0.48089584541428404
299,0.06269349845182574,0.5036102790469752,0.28315188874940045,0.11798980334999723,0.6698680982231322,0.3939289507865647
300,0.08994906199505541,0.4084727695580973,0.24921091577657636,0.16505186367225566,0.5800222459199605,0.3725370547961081
301,0.1747014353013731,0.49068595963269435,0.3326936974670337,0.2974397239185342,0.6583357902607462,0.47788775708964015
302,0.06215299198001946,0.6194856391955768,0.3408193155877981,0.11703208944345495,0.765039990726049,0.44103604008475195
